,project_group_id,project_name,num_workflows,num_workflows_prev,num_agents,num_agents_prev,num_submissions,num_submissions_prev,num_submissions_per_min,num_submissions_per_min_prev,avg_first_good_submission_rate,avg_first_good_submission_rate_prev,avg_rejection_rate,avg_rejection_rate_prev,avg_quality_score,avg_quality_score_prev,avg_rework_time,avg_rework_time_prev,num_workflows_movt,num_agents_movt,num_submissions_movt,num_submissions_per_min_movt,avg_first_good_submission_rate_movt,avg_rejection_rate_movt,avg_quality_score_movt,avg_rework_time_movt,is_missing
29,1032,QSB3 API Production Queue1,6,21,6,21,788.0,8780.0,1682.5622775800712,19367.64705882353,99.59166666666667,99.51047619047618,0.004036760244003705,0.004812467956228765,99.90666666666667,99.86714285714287,0.09333333333333334,0.3314285714285714,-0.7142857142857143,-0.7142857142857143,-0.910250569476082,-0.9131251063967768,0.000815898780697987,-0.16118709138022708,0.0003957638958424761,-0.7183908045977011,False
30,450,DBE1 Freespace RnF Pilot V2,142,30,138,30,1305.0,323.0,21.272663404957758,5.868708096879106,98.63943661971834,98.96166666666664,0.012896327477034225,0.010051467051467049,95.74589928057556,92.61333333333337,0.849788732394366,0.292,3.7333333333333334,3.6,3.040247678018576,2.6247608594249643,-0.003256109742307351,0.2830293738218003,0.03382413562383584,1.9102353849122125,False
31,87,WRT1 - no step B experiment,347,201,347,201,131772.0,57007.0,87148.1360067089,44304.24544716389,97.23616714697407,97.66621890547262,0.026528018140968522,0.018002952609673308,97.68122754491017,98.84983783783787,0.9911527377521608,0.9012935323383081,0.7263681592039801,0.7263681592039801,1.3115056045748767,0.9670380372607752,-0.004403280513140173,0.47353707561917063,-0.01182207597391094,0.09970026654992496,False
32,1344,JSU2 Updated Production 2022,86,78,86,78,1174.0,2266.0,127.84622592531633,288.8180793176136,97.97860465116278,94.53730769230772,0.008492368947461167,0.05401591184824711,,,0.054767441860465095,0.7691025641025644,0.10256410256410256,0.10256410256410256,-0.4819064430714916,-0.5573468730649521,0.03640146988377872,-0.8427802353625036,,-0.9287904573242828,False
33,1032,QSB3 Research TEST - New Hub,19,1,19,1,433.0,6.0,458.83993307306184,26.08695652173913,94.73684210526316,100.0,0.02631578947368421,0.0,,,0.016842105263157894,0.0,18.0,18.0,71.16666666666667,16.58886410113404,-0.052631578947368356,inf,,inf,False
34,1447,RGZ1 Production - CA Almonds,30,17,30,17,20408.0,16707.0,34472.972972972966,35281.863354037276,99.86933333333332,94.11764705882354,0.012347794225401587,0.1770518086952759,78.0,,0.6066666666666666,0.4752941176470588,0.7647058823529411,0.7647058823529411,0.221523912132639,-0.022926520998833497,0.061111666666666405,-0.9302588642477333,,0.2764026402640262,False
35,823,AUF1 - Revised Workflow 2 API,60,45,60,45,38307.0,35683.0,35946.512355333114,52406.49477806788,99.78083333333336,97.29333333333334,0.0024516627921848323,0.005092208444351904,98.61847457627115,99.87422222222223,1.313666666666667,0.4675555555555555,0.3333333333333333,0.3333333333333333,0.07353641790208222,-0.3140828725988991,0.025567013841304907,-0.5185462616118691,-0.012573290865354731,1.809648288973385,False
36,129,GAR 1 Seeding - Data Cleaning,10,6,5,3,787.0,456.0,157.33706517393043,94.90114464099895,100.0,100.0,0.0,0.0,,,0.0,0.0,0.6666666666666666,0.6666666666666666,0.7258771929824561,0.6579048205279293,0.0,,,,False
37,1481,GUF3 Meal Tracking Production,15,7,15,7,438.0,334.0,32.5989877939863,31.227460932282625,99.75333333333333,99.63428571428572,0.0024691358024691358,0.0036630036630036634,100.0,100.0,0.04866666666666667,1.5885714285714283,1.1428571428571428,1.1428571428571428,0.31137724550898205,0.04392053726935603,0.0011948459126709728,-0.325925925925926,0.0,-0.9693645083932854,False
38,107,HOR1 - Titles Only - Low Prio,5,,5,,70.0,,45.16129032258064,,54.46,,0.2524955436720142,,92.774,,1.16,,,,,,,,,,True
